,trip_id,arrival_time,departure_time,stop_sequence,trip_headsign,direction_id,route_id,wheelchair_accessible,bikes_allowed,stop_lat,stop_lon,stop_name,is_express
72315,2960249_0996,05:15:23,05:15:23,2,135 Tech Ridge Park & Ride NB,0,135,1,1,30.26848,-97.69626,1135 Airport/Goodwin,False
45083,2959874_0596,05:15:24,05:15:24,26,10 Norwood Transit Center NB,1,10,1,1,30.238061,-97.762106,2701 S 1st/Cumberland,False
349951,2963448_6941,05:15:25,05:15:25,16,310 S. Congress Transit Center WB,1,310,1,1,30.227504,-97.740505,2718 Parker/Royal Hill,False
474696,2966388_10793,05:15:29,05:15:29,14,350 North Lamar Transit Center NB,0,350,1,1,30.26537,-97.69532,1123 Airport/Springdale,False
299948,2963048_6139,05:15:30,05:15:30,9,300 Crestview Station NB,1,300,1,1,30.247279,-97.774278,2201 Lamar/Kinney,False
81481,2960566_1367,05:15:34,05:15:34,21,18 Exposition WB,1,18,1,1,30.280545,-97.737318,112 Martin Luther King Jr/Congress,False
411693,2965412_9025,05:15:35,05:15:35,16,333 Thaxton EB,1,333,1,1,30.203863,-97.838309,3508 Eskew/Leafield,False
506250,2975924_11670,05:15:37,05:15:37,13,4 Shady EB,1,4,1,1,30.264972,-97.729337,1225 7th/Attayac,False
365129,2964171_7404,05:15:43,05:15:43,4,315 S. Congress Transit Center EB,0,315,1,1,30.236059,-97.838517,5411 290 Hwy/Monterey Oaks,False
548100,2968325_13375,05:15:43,05:15:43,27,5 Northcross WB,1,5,1,1,30.270962,-97.752215,842 6th/Wood,False
634198,2972217_19334,05:15:44,05:15:44,41,7 William Cannon SB,0,7,1,1,30.229929,-97.738557,2504 Parker/Braxton,False
392040,2964673_8422,05:15:45,05:15:45,9,323 Northcross WB,0,323,1,1,30.35401,-97.72622,Anderson/Mullen,False
478636,2966423_10894,05:15:48,05:15:48,15,350 ACC Riverside SB,1,350,1,1,30.297973,-97.709321,4300 Airport/Wilshire,False
103230,2960759_2059,05:15:51,05:15:51,15,2 EASTSIDE BUS PLAZA SB,0,2,1,1,30.269995,-97.731193,904 11th/Branch,False
358538,2963675_7206,05:15:53,05:15:53,19,311 Westgate Transit Center WB,0,311,1,1,30.20039,-97.766394,812 Stassney/IH 35,False
676122,2973210_20605,05:15:59,05:15:59,14,801 Southpark Meadows SB,1,801,1,1,30.298051,-97.741261,31st Street Station (SB),True
45084,2959874_0596,05:16:00,05:16:00,27,10 Norwood Transit Center NB,1,10,1,1,30.239949,-97.760859,2529 S 1st/Herndon,False
262305,2962835_5592,05:16:00,05:16:00,23,30 Westgate Transit Center SB,1,30,1,1,30.33696,-97.75756,Balcones/Northland,False
352210,2963741_7044,05:16:00,05:16:00,9,311 ACC RIVERSIDE EB,1,311,1,1,30.223145,-97.805582,5306 West Gate/Indio,False
450534,2965831_10067,05:16:00,05:16:00,36,337 Mopac WB,0,337,1,1,30.326578,-97.726875,820 Koenig/Lamar,False
649935,2972780_19673,05:16:00,05:16:00,7,800 Slaughter SB,1,800,1,1,30.259748,-97.709736,7th Street SB (Pleasant Valley/7th),True
22281,2959568_0299,05:16:01,05:16:01,12,1 William Cannon SB,0,1,1,1,30.380367,-97.687401,Chinatown Station (SB),False
368265,2964269_7570,05:16:01,05:16:01,18,318 Thaxton EB,0,318,1,1,30.199404,-97.822116,7700 West Gate/Goldbridge,False
428285,2965618_9550,05:16:03,05:16:03,11,335 Exposition WB,0,335,1,1,30.298718,-97.729583,413 38th/Duval,False
58709,2959807_0785,05:16:06,05:16:06,44,10 Southpark Meadows SB,0,10,1,1,30.242264,-97.759614,2324 S 1st/Oltorf,False
366250,2964125_7470,05:16:08,05:16:08,3,315 Oak Hill WB,1,315,1,1,30.228181,-97.778886,1228 Ben White/Banister,False
377841,2964508_7809,05:16:09,05:16:09,17,322 Hancock Center NB,1,322,1,1,30.2777,-97.72068,Chicon/17th,False
417605,2965347_9161,05:16:09,05:16:09,15,333 Oak Hill WB,0,333,1,1,30.191773,-97.774139,412 William Cannon/North Bluff,False
646544,2972724_19519,05:16:09,05:16:09,4,800 Mueller NB,0,800,1,1,30.188891,-97.74529,Village Square NB (Pleasant Valley/Village Square),True
